url,image,name,price
https://www.ebay.com/itm/Python-Crash-Course-A-Hands-On-Project-Based-Introduction-to-Programming/274311062075?epid=204248933&hash=item3fde36a23b:g:2MQAAOSw0nlecl7c,https://i.ebayimg.com/thumbs/images/g/2MQAAOSw0nlecl7c/s-l225.jpg,"Python Crash Course: A Hands-On, Project-Based Introduction to Programming",$22.95
https://www.ebay.com/itm/Python-XML/283840768870?epid=1975108&hash=item42163a6b66:g:6IwAAOSwdGFYpUwt,https://i.ebayimg.com/thumbs/images/g/6IwAAOSwdGFYpUwt/s-l225.jpg,Python & XML,$7.95
https://www.ebay.com/itm/Eric-Matthes-Python-Crash-Course-Book-1593276036/124003170395?epid=204248933&hash=item1cdf2a385b:g:NakAAOSwjqVZGzTo,https://i.ebayimg.com/thumbs/images/g/NakAAOSwjqVZGzTo/s-l225.jpg,Eric Matthes Python Crash Course  Book 1593276036,$16.62
https://www.ebay.com/itm/Python-Playground-Geeky-Projects-for-the-Curious-Programmer/264710329954?epid=203366025&hash=item3da1f71662:g:Zf4AAOSw50VeAUM6,https://i.ebayimg.com/thumbs/images/g/Zf4AAOSw50VeAUM6/s-l225.jpg,Python Playground: Geeky Projects for the Curious Programmer,$8.80
https://www.ebay.com/itm/Python-Pocket-Reference-2nd-Edition-by-Lutz-Mark/383232651427?epid=1947745&hash=item593a7230a3:g:KRoAAOSw2gxYpH1e,https://i.ebayimg.com/thumbs/images/g/KRoAAOSw2gxYpH1e/s-l225.jpg,"Python Pocket Reference, 2nd Edition by Lutz, Mark",$2.49
https://www.ebay.com/itm/Learn-Coding-Fast-Learn-Python-in-One-Day-and-Learn-It-Well-2nd-Edition/184091716506?epid=237996448&hash=item2adcb8ab9a:g:IpgAAOSwjRpZOT-T,https://i.ebayimg.com/thumbs/images/g/IpgAAOSwjRpZOT-T/s-l225.jpg,Learn Coding Fast: Learn Python in One Day and Learn It Well (2nd Edition) :...,$14.32
https://www.ebay.com/itm/Python-Web-Development-with-Django/352934788393?epid=65895545&hash=item522c8d7d29:g:FF8AAOSwdzxeH4XK,https://i.ebayimg.com/thumbs/images/g/FF8AAOSwdzxeH4XK/s-l225.jpg,Python Web Development with Django,$4.35
https://www.ebay.com/itm/Python-for-Finance-Mastering-Data-Driven-Finance-Paperback-by-Hilpisch-Yv/382699433109?epid=246134875&hash=item591aa9ec95:g:EEYAAOSwmE5cJqat,https://i.ebayimg.com/thumbs/images/g/EEYAAOSwmE5cJqat/s-l225.jpg,"Python for Finance : Mastering Data-Driven Finance, Paperback by Hilpisch, Yv...",$55.01
https://www.ebay.com/itm/Python-Programming-for-Beginners-The-Ultimate-Beginners-Crash-Course-to-Lea/274163462820?epid=235536667&hash=item3fd56a72a4:g:Sx8AAOSw3v5Yn2gS,https://i.ebayimg.com/thumbs/images/g/Sx8AAOSw3v5Yn2gS/s-l225.jpg,Python Programming for Beginners : The Ultimate Beginners Crash Course to Lea...,$12.85
https://www.ebay.com/itm/Introduction-to-Statistics-With-Python-With-Applications-in-the-Life-Scienc/263919322372?epid=219235900&hash=item3d72d14504:g:3EYAAOSwC8pb1FYE,https://i.ebayimg.com/thumbs/images/g/3EYAAOSwC8pb1FYE/s-l225.jpg,Introduction to Statistics With Python : With Applications in the Life Scienc...,$63.03
https://www.ebay.com/itm/The-Quick-Python-Book-Second-Edition-by-Naomi-R-Ceder-Free-Shipping/383348928516?epid=74265123&hash=item5941607004:g:Nu4AAOSw7wZeDDMb,https://i.ebayimg.com/thumbs/images/g/Nu4AAOSw7wZeDDMb/s-l225.jpg,The Quick Python Book Second Edition by Naomi R. Ceder Free Shipping,$9.00
https://www.ebay.com/itm/Learning-Python-by-Mark-Lutz/392641282974?epid=73904722&hash=item5b6b3e839e:g:EpUAAOSwx6pYpMoV,https://i.ebayimg.com/thumbs/images/g/EpUAAOSwx6pYpMoV/s-l225.jpg,Learning Python by Mark Lutz,$18.99
https://www.ebay.com/itm/Beginning-Programming-with-Python-For-Dummies-2nd-Edition/184190913807?epid=239814108&hash=item2ae2a24d0f:g:1ZMAAOSwkEFeTlIy,https://i.ebayimg.com/thumbs/images/g/1ZMAAOSwkEFeTlIy/s-l225.jpg,"Beginning Programming with Python For Dummies, 2nd Edition",$20.99
https://www.ebay.com/itm/Data-Science-from-Scratch-First-Principles-with-Python-2nd-Edition-PAPERBACK/333368014579?epid=28031833943&hash=item4d9e4836f3:g:jCQAAOSweIVeZrgl,https://i.ebayimg.com/thumbs/images/g/jCQAAOSweIVeZrgl/s-l225.jpg,Data Science from Scratch: First Principles with Python 2nd Edition PAPERBACK...,$31.95
https://www.ebay.com/itm/Python-Crash-Course-2nd-Edition-A-Hands-On-Project-Based-PAPERBACK-201/333386482166?epid=26030916261&hash=item4d9f6201f6:g:JuwAAOSwKY9eZrmA,https://i.ebayimg.com/thumbs/images/g/JuwAAOSwKY9eZrmA/s-l225.jpg,"Python Crash Course, 2nd Edition: A Hands-On, Project-Based...PAPERBACK â€“ 201...",$25.95
https://www.ebay.com/itm/Bayesian-Analysis-with-Python-Second-Edition-Paperback-or-Softback/382770761769?epid=7027684729&hash=item591eea5029:g:QOUAAOSw8PNeX2oM,https://i.ebayimg.com/thumbs/images/g/QOUAAOSw8PNeX2oM/s-l225.jpg,Bayesian Analysis with Python - Second Edition (Paperback or Softback),$60.40
https://www.ebay.com/itm/The-Spirit-of-Python-book-devotional-and-cd-Jentezen-Franklin/283854284665?epid=150679468&hash=item421708a779:g:U4UAAOSwjj1enhDu,https://i.ebayimg.com/thumbs/images/g/U4UAAOSwjj1enhDu/s-l225.jpg,"The Spirit of Python, book, devotional and cd. Jentezen Franklin",$15.00
https://www.ebay.com/itm/Python-for-Finance-Cookbook/193407142765?hash=item2d07f6cb6d:g:JWcAAOSwkfVehdim,https://i.ebayimg.com/thumbs/images/g/JWcAAOSwkfVehdim/s-l225.jpg,Python for Finance Cookbook,$3.99
https://www.ebay.com/itm/Monty-Python-and-the-Holy-Grail-BOOK/202943439752?epid=1614547&_trkparms=ispr%3D1&hash=item2f405f2388:g:010AAOSweZ9eeBvQ&enc=AQAEAAACYIQvEcHUrT7nmUC3yY5qbPyaBN1nJEDYW8MyypsJPgXKxIntehGqQQl8nLx%2FEZs3RiKbBhisE5tVHdXRO3EAzR%2BpnW66Gzii6A1xf76FRhVbjUMHt8pNb7SMA%2B27pX%2FP2Rvj0SYoEgLZKxvM%2By2Ped7hS5OFsk8pzHTed4tgTRm3fVFLHqvevxfwWU5Pa6NJA5R%2FwbxgbOfxtOSN6y7thUGMZRoj6yfgFVGpndhQm5xEaOYnIJVH8Kan1ajTH4%2F9sR4EaIYsc%2FMsTPPJBbPOQmVMVDo%2BWXe9afMVci89Rjcz2Pp5f67sJCNcsiMhH01Kknb4SgzVARbkW0692jUz9A4UMwZoRuDqTcCiBtetURpyOn5NfqSo3CkkDMfLoqZC%2BRYP3Jceq8b228v7l2U8aI24fD9PJQSkshEqCv3DuyK1Hyw%2Fg2Mo2cT023zt3ieQ5Y71MOrKG5R0q9uc2BlxG6SaPAi4EyedL%2FP0CjmgfVk9MA0A9VkhgqBpPghK1u3NUSo5te4LC17lb8L8v%2Bk0VM3Wdr4%2Bp33oOwkJd5s3Ym2PCVyQMCMnczPn4UNPt2sXzYabOPbegCKppaXsiekI5gM%2BzuehfE%2B9x1dWqI4PFuXHUg2kAtn7nKqUVdduOFRdBbmv8DWjZ2g6%2F%2BLdRyKH%2Bt5XSpjBuvz16UWKnvNlw1OyqIMR74o2UVdbWWgETPxEPhUWlLqAW%2FCu3pVmlWTlAZZU7itK919pDnXa8y%2B0BPX2wwhbmav6OuYt9O4Hj13qeHYCzmB0CkGknh4SFfkbn9Hoq6k7r9PVi%2BU3HggKUUBQ&checksum=202943439752eec3b117d27745aeb8437c38a7402cf0,https://i.ebayimg.com/thumbs/images/g/010AAOSweZ9eeBvQ/s-l225.jpg,Monty Python and the Holy Grail (BOOK!),$30.00
https://www.ebay.com/itm/Python-Playground-Geeky-Projects-for-the-Curious-Programmer-Digital-Book/164106449388?_trkparms=ispr%3D1&hash=item263581b1ec:g:Og0AAOSwHOFeXD~n&enc=AQAEAAACYIQvEcHUrT7nmUC3yY5qbPyaBN1nJEDYW8MyypsJPgXKym2Jdff8P6pcVkPslsrmD1ZRCP8mjag7KcuJV1uRHd1TxIDDBtiHYnIhLSyIrWmOEVrQubsF1p%2FGu7g2TOT5qVExFl5eJSZnMh6h7dw6pXRys4K8WBMIAwjckGUyoyxqjfq0CLbzrPveB8biIQluA5ovoLWirvUzfjDJDvO3Qdree5XRDgfQB2VCCIQ8znRuHRsvL0LRR%2Fb3Ef6ZGZPS4tZjFJ24f0n7FW%2FBtI1LeMHS%2BPMlvdPJiU2yBfg78g9gJ42%2F%2FnTY%2BTX3MMSxIb%2BGmgOAld%2BP3EOGE5dbH53LvcVAakM3E2u7bRRDYGEpLyUQSKD%2Bm7sP03NkzIAAav0Uope%2BoWyD5vixbHyyfLnWnLPyhPMtlyZBQdue92zS0jtUJGbsKgg%2BJ6sDmpG5wNuaEuOzx%2FnL04UsauACj2cIWYgzDhQkD4vHvQok8nm0akct5X0IO8hj7erEf1Efmv0ae9JQ%2BF%2FoSSdsG0qWgl4yLBIzieGXLXay4XUQtT97MiozdVJy0P9acGS8S4sTQgu40r4tTBe39w1iq4ArXkM0E9cnxXi3gO%2BZZfpEsX1slRIQxA%2B4OaS1n0wbaMpATiUjAFiga51eYHHVhWZ1NA5jKoz1k6I6l8k5qHwrjsy3X%2B3djZMHtjL5XZe8NxS6EE335h5QuFai2rzFGZF7DqojN0hJahlr5o3Pn7YDe44rkkpxraxJnaJj9y7FV1vpDWArXsF%2FZszekFjBXHAkjBS7fa8QRtSGVCjTnGsek5fUX0by&checksum=164106449388eec3b117d27745aeb8437c38a7402cf0,https://i.ebayimg.com/thumbs/images/g/Og0AAOSwHOFeXD~n/s-l225.jpg,Python Playground. Geeky Projects for the Curious Programmer - Digital Book -,$5.00
